School Name,State,School Sector,School Type,ABS Remoteness Area Name,Latitude,Longitude
St John the Evangelist Catholic High School,NSW,Catholic,Secondary,Inner Regional,-34.896643,150.604775
St Joseph's Catholic High School,NSW,Catholic,Secondary,Major Cities,-34.572987,150.765948
Magdalene Catholic College,NSW,Catholic,Secondary,Major Cities,-34.042662,150.757256
St Paul's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.572309,150.764554
St Thomas Aquinas Catholic Primary School,NSW,Catholic,Primary,Inner Regional,-34.476804,150.420872
St Joseph's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.334055,150.918223
St Paul's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.053085,150.695685
St John The Evangelist Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.069508,150.817454
St Columbkille's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.36806808,150.8976582
St John's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.49325,150.799363
Mary Immaculate Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.039449,150.814118
St Brigid's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.416383,150.882332
Holy Cross Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.186511,150.986895
Holy Family Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.003284,150.872938
Ss Peter and Paul Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.675825,150.853223
St Mary's Star of the Sea Catholic Primary School,NSW,Catholic,Primary,Inner Regional,-35.311398,150.43026
St Michael's Catholic Primary School,NSW,Catholic,Primary,Inner Regional,-34.447452,150.449884
St Paul's Catholic Primary School,NSW,Catholic,Primary,Inner Regional,-34.545843,150.37074
St Clare's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.047474,150.748107
St Michael's Catholic Primary School,NSW,Catholic,Primary,Inner Regional,-34.87286,150.597327
St Anthony's Catholic Primary School,NSW,Catholic,Primary,Inner Regional,-34.170802,150.611975
St Patrick's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.48364,150.90103
Our Lady Help of Christians Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.10096718,150.7876028
St Thomas More Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.081202,150.82512
Stella Maris Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.580333,150.869894
St Michael's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.317496,150.920991
St Pius X Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.45198,150.841422
St Francis of Assisi Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.479703,150.879865
St Therese Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.425936,150.871158
Nazareth Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.568662,150.836464
Corpus Christi Catholic High School,NSW,Catholic,Secondary,Major Cities,-34.56931,150.81675
St Brendan's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.884204,151.170909
St Francis Xavier's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.939599,151.147263
St Vincent's College Ashfield,NSW,Catholic,Combined,Major Cities,-33.885622,151.124963
St John's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.84811881,151.0305082
St Joseph the Worker Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.86494,151.024565
Fr John Therry Catholic Primary School Balmain - Rozelle,NSW,Catholic,Primary,Major Cities,-33.858936,151.184054
St Felix Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.906709,151.035824
St Brendan's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.921723,151.029046
St Michael's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.901446,151.088022
St Joseph's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.9236,151.089128
Regina Coeli Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.946885,151.08
St Gabriel's Catholic Primary School Bexley,NSW,Catholic,Primary,Major Cities,-33.947877,151.12174
Mater Dei Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.98596,151.111709
Galilee Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.885218,151.27522
Holy Cross Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.889857,151.251985
John the Baptist Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.887315,150.863583
Our Lady of Mt Carmel Catholic Primary School Mount Pritchard,NSW,Catholic,Primary,Major Cities,-33.893599,150.898581
Mary Immaculate Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.86084,150.891374
St Bernard's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.945453,151.200034
St Thomas More's Catholic Primary School Brighton Le Sands,NSW,Catholic,Primary,Major Cities,-33.958325,151.151476
Sacred Heart Catholic Primary School Cabramatta,NSW,Catholic,Primary,Major Cities,-33.890482,150.93653
St Mel's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.910999,151.105925
Our Lady of Fatima Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.04568,151.121517
Blessed Sacrament Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.835101,151.244538
Watsonia Primary School,VIC,Government,Primary,Major Cities,-37.70643,145.086625
St Anthony's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.9107437,151.2586387
St Mary's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.86792,151.103026
St Ambrose Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.849833,151.086876
St Brigid's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.919921,151.252785
St Aloysius Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.057601,151.153079
Holy Innocents' Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.87618192,151.1127678
St Francis Xavier Catholic School Ashbury,NSW,Catholic,Primary,Major Cities,-33.896724,151.114327
St Michael's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.930186,151.225447
St Therese's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.797267,151.093926
St Mark's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.855573,151.154133
St Paul of the Cross Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.905241,151.134799
Our Lady of Lourdes Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.926987,151.126725
St Kevin's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.789546,151.078684
St Joseph's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.88806,151.10129
St John Bosco Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.063422,151.007751
St Pius' Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.907429,151.174296
St Mary's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.900199,151.187625
Our Lady of the Rosary Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.872794,150.959367
All Hallows Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.860897,151.133872
St Mary's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.910572,150.982365
Our Lady Queen of Peace Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.826261,151.126955
St James Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.879547,151.18509
St John Vianney Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.903833,151.0593
St Catherine Labouré Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.037134,151.083979
St Joan of Arc Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.87904041,151.139506
Marion Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.841231,150.850842
Good Shepherd Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.93018,150.862437
Villa Maria Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.830064,151.139696
St Mary's Star of the Sea Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.960257,151.111775
Our Lady of the Rosary Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.912153,151.221109
Our Lady of Fatima Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.94210561,151.1037645
St Patrick's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.968416,151.135385
St Therese's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.916601,151.077961
St Michael's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.819014,151.169995
St Fiacre's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.884798,151.162197
St Joachim's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.862562,151.047284
All Saints Catholic College,NSW,Catholic,Combined,Major Cities,-33.919077,150.926265
St Francis Xavier's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.932993,150.900482
St Andrew's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.964057,151.247554
St Mary - St Joseph Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.947298,151.251998
St Aidan's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.941868,151.241796
St Brigid's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.909403,151.152541
St Anthony's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.780982,151.102615
St Therese Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.925808,151.201113
Sacred Heart Catholic Primary School Matraville,NSW,Catholic,Primary,Major Cities,-33.958865,151.231575
St Michael's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.812298,151.087241
Holy Family Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.018206,151.021135
St Therese Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.920269,150.88672
Our Lady Star of the Sea Catholic Primary School Miranda,NSW,Catholic,Primary,Major Cities,-34.032851,151.104062
St Joseph's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.92836,150.954871
Sacred Heart Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.824564,151.236298
St Columba's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.879698,151.152206
Holy Spirit Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.794636,151.12316
St Joseph's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.981565,151.082548
St Francis of Assisi Regional Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.888487,151.231352
St Therese Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.96270522,151.0312967
St Christopher's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.957452,150.996616
St Declan's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.963247,151.086994
St Jerome's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.927378,151.054852
Our Lady of the Sacred Heart Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.915717,151.241606
St Margaret Mary's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.90529,151.244676
St Peter Chanel Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.879232,151.027341
St Luke's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.945726,151.017249
St Joseph's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.951767,151.055038
St Joseph's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.95087069,151.1356493
McAuley Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.870578,151.272035
St Charles Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.818342,151.114403
St Finbar's Catholic Primary School Sans Souci,NSW,Catholic,Primary,Major Cities,-33.992474,151.129188
Immaculate Heart of Mary Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.886854,151.008551
St Gertrude's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.854662,150.93817
St Raphael's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.975224,151.11051
St Michael's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.892382,151.16499
St Martha's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.873815,151.086979
St Anne's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.892383,151.077934
St Patrick's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.893718,151.133396
St Patrick's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.033432,151.062153
St Mary's Cathedral College,NSW,Catholic,Combined,Major Cities,-33.871288,151.213998
Sacred Heart Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.889059,150.975512
Our Lady of Mount Carmel Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.89922695,151.2058132
St Charles' Catholic Primary School Waverley,NSW,Catholic,Primary,Major Cities,-33.899645,151.253258
St Francis de Sales Catholic Primary School,NSW,Catholic,Primary,Major Cities,-34.052211,151.142649
Christ the King Catholic Primary School Bass Hill,NSW,Catholic,Primary,Major Cities,-33.906086,151.012986
St Catherine of Siena Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.952631,150.868678
Casimir Catholic College,NSW,Catholic,Secondary,Major Cities,-33.91091743,151.1511339
"De La Salle College, Revesby Heights",NSW,Catholic,Secondary,Major Cities,-33.96347963,151.0147342
Our Lady of the Sacred Heart College,NSW,Catholic,Secondary,Major Cities,-33.912662,151.219769
Trinity Catholic College,NSW,Catholic,Secondary,Major Cities,-33.850411,151.02985
Bethany College,NSW,Catholic,Secondary,Major Cities,-33.961833,151.113118
St Ursula's College,NSW,Catholic,Secondary,Major Cities,-33.941884,151.103281
Marist College Kogarah,NSW,Catholic,Secondary,Major Cities,-33.958961,151.130328
Marist Catholic College North Shore,NSW,Catholic,Combined,Major Cities,-33.831529,151.207053
Corpus Christi College Maroubra,NSW,Catholic,Secondary,Major Cities,-33.946605,151.229064
Marist Catholic College Penshurst,NSW,Catholic,Secondary,Major Cities,-33.967666,151.083278
Brigidine College Randwick,NSW,Catholic,Secondary,Major Cities,-33.919181,151.243928
Marcellin College,NSW,Catholic,Secondary,Major Cities,-33.913571,151.240721
La Salle Catholic College,NSW,Catholic,Secondary,Major Cities,-33.90808,151.034897
Freeman Catholic College,NSW,Catholic,Secondary,Major Cities,-33.886767,150.86297
Our Lady of Mercy Catholic College Burraneer,NSW,Catholic,Secondary,Major Cities,-34.05434,151.135366
"De La Salle Catholic College, Caringbah",NSW,Catholic,Secondary,Major Cities,-34.045553,151.122261
St John Bosco College,NSW,Catholic,Secondary,Major Cities,-34.06484072,151.0077432
Patrician Brothers' College Fairfield,NSW,Catholic,Secondary,Major Cities,-33.872141,150.963528
Good Samaritan Catholic College,NSW,Catholic,Secondary,Major Cities,-33.926134,150.860114
Aquinas Catholic College,NSW,Catholic,Secondary,Major Cities,-34.01997,151.021315
St Patrick's College Sutherland,NSW,Catholic,Secondary,Major Cities,-34.033937,151.05902
Mary MacKillop Catholic College,NSW,Catholic,Secondary,Major Cities,-33.866026,150.910826
Marist College Eastwood,NSW,Catholic,Secondary,Major Cities,-33.789145,151.07738
Domremy Catholic College,NSW,Catholic,Secondary,Major Cities,-33.869709,151.132909
Holy Spirit Catholic College,NSW,Catholic,Secondary,Major Cities,-33.921743,151.076591
Holy Cross College,NSW,Catholic,Secondary,Major Cities,-33.81944335,151.1186771
Marist Sisters' College Woolwich,NSW,Catholic,Secondary,Major Cities,-33.839666,151.167069
Holy Spirit Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.93935019,150.8438721
St Christopher's Catholic Primary School,NSW,Catholic,Primary,Major Cities,-33.952428,150.951333
Clancy Catholic College,NSW,Catholic,Secondary,Major Cities,-33.9322,150.836
St Joseph's Primary School,NSW,Catholic,Primary,Inner Regional,-28.83873635,153.4368646
St Francis Xavier Primary School,NSW,Catholic,Primary,Inner Regional,-28.868353,153.564096
Mary Help of Christians Primary School Sawtell,NSW,Catholic,Primary,Inner Regional,-30.358164,153.083971
St Mary's Primary School,NSW,Catholic,Primary,Inner Regional,-30.45571,152.898143
St Mary's Primary School,NSW,Catholic,Primary,Inner Regional,-30.650753,152.851171
St Finbarr's Primary School,NSW,Catholic,Primary,Inner Regional,-28.6656,153.6158
St Mary's Primary School,NSW,Catholic,Primary,Inner Regional,-28.862006,153.044961
St Augustine's Primary School,NSW,Catholic,Primary,Inner Regional,-30.30096985,153.1134166
St Joseph's Primary School,NSW,Catholic,Primary,Inner Regional,-28.989312,153.286072
Mount St John Primary School,NSW,Catholic,Primary,Inner Regional,-30.347208,152.714704
St Mary's Primary School,NSW,Catholic,Primary,Inner Regional,-29.67348247,152.9341594
St Joseph's Primary School,NSW,Catholic,Primary,Inner Regional,-29.725385,152.933617
St Joseph's Primary School,NSW,Catholic,Primary,Inner Regional,-31.075541,152.832134
St Anthony's Primary School,NSW,Catholic,Primary,Major Cities,-28.2574,153.576808
St Brigid's Primary School,NSW,Catholic,Primary,Inner Regional,-28.626191,153.004565
St Joseph's Primary School,NSW,Catholic,Primary,Inner Regional,-31.640825,152.792044
St Carthage's Primary School,NSW,Catholic,Primary,Inner Regional,-28.803682,153.284482
Our Lady Help of Christians Primary School,NSW,Catholic,Primary,Inner Regional,-28.82052388,153.2902507
St Patrick's Primary School,NSW,Catholic,Primary,Inner Regional,-30.732251,152.902536
St Joseph's Primary School,NSW,Catholic,Primary,Inner Regional,-29.459346,153.202276
St John's Primary School,NSW,Catholic,Primary,Inner Regional,-28.549467,153.496826
Mount St Patrick Primary School,NSW,Catholic,Primary,Inner Regional,-28.326148,153.394837
St Joseph's Primary School,NSW,Catholic,Primary,Inner Regional,-28.331597,153.399984
St Agnes' Primary School,NSW,Catholic,Primary,Inner Regional,-31.440467,152.897739
St Joseph's Primary School,NSW,Catholic,Primary,Inner Regional,-31.429358,152.894868
St Peter's Primary School,NSW,Catholic,Primary,Inner Regional,-31.456617,152.891881
Holy Family Catholic Primary School,NSW,Catholic,Primary,Inner Regional,-28.827809,153.599632
St James' Primary School,NSW,Catholic,Primary,Major Cities,-28.2108645,153.5362617
St Joseph's Primary School,NSW,Catholic,Primary,Major Cities,-28.171253,153.540751
St Joseph's Primary School,NSW,Catholic,Primary,Inner Regional,-31.459694,152.732375
St Joseph's Primary School,NSW,Catholic,Primary,Inner Regional,-29.072576,153.33785
St Francis Xavier Primary School,NSW,Catholic,Primary,Inner Regional,-30.115154,153.201313
St James' Primary School,NSW,Catholic,Primary,Inner Regional,-29.43744522,153.3333216
MacKillop College Port Macquarie,NSW,Catholic,Secondary,Inner Regional,-31.454573,152.897522
Xavier Catholic College Ballina,NSW,Catholic,Secondary,Inner Regional,-28.831529,153.59962
St Joseph's Regional College,NSW,Catholic,Secondary,Inner Regional,-31.4549618,152.8311786
Mount St Patrick College,NSW,Catholic,Secondary,Inner Regional,-28.325477,153.394073
St John's College,NSW,Catholic,Secondary,Inner Regional,-28.784184,153.300445
St Paul's College,NSW,Catholic,Secondary,Inner Regional,-31.061145,152.823549
McAuley Catholic College,NSW,Catholic,Secondary,Inner Regional,-29.70497034,152.9562177
St John Paul College,NSW,Catholic,Secondary,Inner Regional,-30.323793,153.098377
St Mary's Catholic College,NSW,Catholic,Secondary,Inner Regional,-28.861067,153.045384
St Joseph's College,NSW,Catholic,Secondary,Major Cities,-28.21023974,153.53661
St Joseph's Catholic Primary School Blayney,NSW,Catholic,Primary,Inner Regional,-33.524941,149.257227
St Lawrence's Catholic Primary School Coonabarabran,NSW,Catholic,Primary,Outer Regional,-31.275219,149.273384
St Raphael's Catholic School Cowra,NSW,Catholic,Combined,Inner Regional,-33.83233502,148.6877381
St Matthews Catholic School Mudgee,NSW,Catholic,Combined,Inner Regional,-32.62175552,149.5982663
St Joseph's Catholic Primary School Oberon,NSW,Catholic,Primary,Inner Regional,-33.70573234,149.854815
St Mary's Catholic School Wellington,NSW,Catholic,Combined,Outer Regional,-32.55004204,148.9431509
St John's Catholic Primary School Baradine,NSW,Catholic,Primary,Remote,-30.950582,149.065925
The Assumption Catholic Primary School Bathurst,NSW,Catholic,Primary,Inner Regional,-33.411773,149.566954
Cathedral Catholic Primary School Bathurst,NSW,Catholic,Primary,Inner Regional,-33.419281,149.575319
Holy Family Catholic Primary School Kelso,NSW,Catholic,Primary,Inner Regional,-33.401074,149.606009
St Philomena's Catholic Primary School Bathurst,NSW,Catholic,Primary,Inner Regional,-33.438323,149.566922
St Edward's Catholic Primary School Canowindra,NSW,Catholic,Primary,Inner Regional,-33.565652,148.664657
Sacred Heart Catholic Primary School Coolah,NSW,Catholic,Primary,Outer Regional,-31.825643,149.710819
St Brigid's Catholic Primary School Coonamble,NSW,Catholic,Primary,Remote,-30.952348,148.390095
St John's Catholic Primary School Dubbo,NSW,Catholic,Primary,Inner Regional,-32.266649,148.645649
St Pius X Catholic Primary School Dubbo,NSW,Catholic,Primary,Inner Regional,-32.250604,148.588217
St Michael's Catholic Primary School Dunedoo,NSW,Catholic,Primary,Outer Regional,-32.020206,149.39393
St Joseph's Catholic Primary School Eugowra,NSW,Catholic,Primary,Outer Regional,-33.427813,148.372438
St Joseph's Catholic Primary School Gilgandra,NSW,Catholic,Primary,Outer Regional,-31.708114,148.662402
All Hallows Catholic Primary School Gulgong,NSW,Catholic,Primary,Outer Regional,-32.361041,149.531307
St Patrick's Catholic Primary School Lithgow,NSW,Catholic,Primary,Inner Regional,-33.483901,150.153401
St Joseph's Catholic Primary School Manildra,NSW,Catholic,Primary,Outer Regional,-33.183792,148.691797
St Joseph's Catholic Primary School Molong,NSW,Catholic,Primary,Inner Regional,-33.094281,148.864531
Catherine McAuley Catholic Primary School Orange,NSW,Catholic,Primary,Inner Regional,-33.279406,149.094667
St Mary's Catholic Primary School Orange,NSW,Catholic,Primary,Inner Regional,-33.284615,149.117119
St Joseph's Catholic Primary School Portland,NSW,Catholic,Primary,Inner Regional,-33.353244,149.988335
St Columba's Catholic Primary School Yeoval,NSW,Catholic,Primary,Outer Regional,-32.74910092,148.6490412
St Mary's Catholic Primary School Dubbo,NSW,Catholic,Primary,Inner Regional,-32.242336,148.631385
St Laurence's Catholic Primary School Dubbo,NSW,Catholic,Primary,Inner Regional,-32.260407,148.611988
La Salle Academy Lithgow,NSW,Catholic,Secondary,Inner Regional,-33.495532,150.133152
MacKillop College Bathurst,NSW,Catholic,Secondary,Inner Regional,-33.432524,149.588284
St Johns College Dubbo,NSW,Catholic,Secondary,Inner Regional,-32.268003,148.645796
James Sheahan Catholic High School Orange,NSW,Catholic,Secondary,Inner Regional,-33.301339,149.094354
St Joseph's Parish School,NSW,Catholic,Primary,Outer Regional,-34.637766,143.563462
St Ignatius' Parish School,NSW,Catholic,Primary,Very Remote,-30.088163,145.931546
St Patrick's Parish School,NSW,Catholic,Primary,Very Remote,-29.961079,146.858789
Sacred Heart Parish School,NSW,Catholic,Primary,Outer Regional,-31.952716,141.459649
St John's Parish School,NSW,Catholic,Primary,Remote,-31.498866,145.834376
St Joseph's Parish School,NSW,Catholic,Primary,Outer Regional,-33.084592,147.146801
St Michael's Parish School,NSW,Catholic,Primary,Inner Regional,-35.53091,144.961567
St Laurence's Parish School,NSW,Catholic,Primary,Outer Regional,-33.379309,148.008506
St Mary's Parish School,NSW,Catholic,Primary,Outer Regional,-34.508599,144.840232
St Joseph's Parish School,NSW,Catholic,Primary,Remote,-33.484283,145.528149
St Augustine's Parish School,NSW,Catholic,Primary,Outer Regional,-32.22745,148.24016
St Joseph's Parish School,NSW,Catholic,Primary,Remote,-31.56439,147.190633
Holy Family Parish School,NSW,Catholic,Primary,Outer Regional,-33.132718,148.175895
St Joseph's Parish School,NSW,Catholic,Primary,Outer Regional,-32.730937,148.194359
St John's Parish School,NSW,Catholic,Primary,Outer Regional,-32.03485255,147.9787564
St Patrick's Parish School,NSW,Catholic,Primary,Outer Regional,-32.923921,147.7084
St Mary's Parish School,NSW,Catholic,Primary,Outer Regional,-31.698754,147.837018
St Patrick's Parish School,NSW,Catholic,Primary,Inner Regional,-36.084105,146.916155
St Anne's Primary School,NSW,Catholic,Primary,Inner Regional,-36.060324,146.936111
Holy Spirit Primary School,NSW,Catholic,Primary,Inner Regional,-36.036894,146.937128
St Peter's Primary School,NSW,Catholic,Primary,Outer Regional,-34.805097,145.879428
St Michael's Primary School,NSW,Catholic,Primary,Inner Regional,-34.817776,147.203353
St Mary's Primary School,NSW,Catholic,Primary,Inner Regional,-35.996528,146.388105
St Joseph's Primary School,NSW,Catholic,Primary,Inner Regional,-35.668659,147.035821
St Joseph's Primary School,NSW,Catholic,Primary,Inner Regional,-35.637611,145.577359
St Brendan's Primary School,NSW,Catholic,Primary,Outer Regional,-34.796397,147.042871
St Patrick's Primary School,NSW,Catholic,Primary,Outer Regional,-34.281573,146.04609
St Patrick's Primary School,NSW,Catholic,Primary,Inner Regional,-35.721096,147.315255
St Joseph's Primary School,NSW,Catholic,Primary,Outer Regional,-35.360991,145.736335
St Joseph's Primary School,NSW,Catholic,Primary,Inner Regional,-34.87224,147.577395
St Joseph's Primary School,NSW,Catholic,Primary,Outer Regional,-34.554931,146.404439
St Joseph's Primary School,NSW,Catholic,Primary,Outer Regional,-35.220208,146.720701
St Joseph's Primary School,NSW,Catholic,Primary,Outer Regional,-34.749233,146.554626
Sacred Heart Primary School,NSW,Catholic,Primary,Inner Regional,-35.814837,145.575806
All Saints Primary School,NSW,Catholic,Primary,Outer Regional,-35.77874,148.012695
St Mary's Primary School,NSW,Catholic,Primary,Outer Regional,-34.300591,146.083074
Holy Trinity West Wagga,NSW,Catholic,Primary,Inner Regional,-35.125111,147.334402
Mater Dei Primary School,NSW,Catholic,Primary,Inner Regional,-35.177764,147.36356
Sacred Heart Primary School,NSW,Catholic,Primary,Inner Regional,-35.137892,147.376874
Henschke Primary School,NSW,Catholic,Primary,Inner Regional,-35.131773,147.351272
St Joseph's Primary School,NSW,Catholic,Primary,Inner Regional,-35.107392,147.372628
Kildare Catholic College,NSW,Catholic,Secondary,Inner Regional,-35.122634,147.363584
Mater Dei Catholic College,NSW,Catholic,Secondary,Inner Regional,-35.1759,147.3629
St Francis De Sales Regional College,NSW,Catholic,Secondary,Outer Regional,-34.567877,146.41053
Xavier Catholic College,NSW,Catholic,Secondary,Inner Regional,-36.062669,146.935126
Marian Catholic College,NSW,Catholic,Secondary,Outer Regional,-34.286779,146.058283
St Mary's Primary School,NSW,Catholic,Primary,Inner Regional,-30.516282,151.664034
St Joseph's Primary School,NSW,Catholic,Primary,Outer Regional,-30.377122,150.608957
Sacred Heart Primary School,NSW,Catholic,Primary,Outer Regional,-30.706671,150.045822
St Xavier's Primary School,NSW,Catholic,Primary,Outer Regional,-30.977063,150.258252
St Mary of the Angels Primary School,NSW,Catholic,Primary,Inner Regional,-30.225568,151.67242
St Michael's Catholic Primary School,NSW,Catholic,Primary,Outer Regional,-30.74969166,150.7233348
St Philomena's School,NSW,Catholic,Combined,Outer Regional,-29.459249,149.838103
St Joseph's Primary School,NSW,Catholic,Primary,Remote,-28.979979,148.990844
St Francis Xavier's Primary School,NSW,Catholic,Primary,Outer Regional,-30.325975,149.789022
St Joseph's Primary School,NSW,Catholic,Primary,Outer Regional,-31.510242,150.677422
St Nicholas' Primary School,NSW,Catholic,Primary,Inner Regional,-31.094048,150.937951
St Joseph's Primary School,NSW,Catholic,Primary,Inner Regional,-31.09309,150.917851
St Edward's Primary School,NSW,Catholic,Primary,Inner Regional,-31.10918,150.913709
St Joseph's Primary School,NSW,Catholic,Primary,Outer Regional,-29.059305,152.01564
St Joseph's Primary School,NSW,Catholic,Primary,Inner Regional,-30.639193,151.50501
St Patrick's Primary School,NSW,Catholic,Primary,Outer Regional,-30.982252,151.590664
St Joseph's Primary School,NSW,Catholic,Primary,Remote,-30.025873,148.113922
St Joseph's Primary School,NSW,Catholic,Primary,Outer Regional,-29.543428,150.57334
St Joseph's Primary School,NSW,Catholic,Primary,Outer Regional,-30.227233,149.443937
Holy Trinity School,NSW,Catholic,Combined,Outer Regional,-29.779152,151.130976
