School Name,State,School Sector,School Type,ABS Remoteness Area Name,Latitude,Longitude
Smithton High School,TAS,Government,Secondary,Outer Regional,-40.83816677,145.1164488
Sorell School,TAS,Government,Combined,Inner Regional,-42.78592321,147.5606233
Taroona High School,TAS,Government,Secondary,Inner Regional,-42.94341,147.3559
Tasman District School,TAS,Government,Combined,Outer Regional,-43.09833639,147.7470655
Winnaleah District High School,TAS,Government,Combined,Outer Regional,-41.096531,147.822868
Woodbridge School,TAS,Government,Combined,Outer Regional,-43.164652,147.239683
Yolla District School,TAS,Government,Combined,Outer Regional,-41.12266948,145.7200995
North West Support School,TAS,Government,Combined,Outer Regional,-41.072282,145.893098
Invermay Primary School,TAS,Government,Primary,Inner Regional,-41.42163515,147.131384
Mowbray Heights Primary School,TAS,Government,Primary,Inner Regional,-41.40275864,147.133413
Rose Bay High School,TAS,Government,Secondary,Inner Regional,-42.86154099,147.3589167
Queechy High School,TAS,Government,Secondary,Inner Regional,-41.45195332,147.176075
Devonport High School,TAS,Government,Secondary,Outer Regional,-41.17795098,146.3487704
Sacred Heart Catholic School,TAS,Catholic,Primary,Inner Regional,-41.445,147.133337
Albuera Street Primary School,TAS,Government,Primary,Inner Regional,-42.89123278,147.325883
Campbell Street Primary School,TAS,Government,Primary,Inner Regional,-42.87254263,147.3226832
Goulburn Street Primary School,TAS,Government,Primary,Inner Regional,-42.88779991,147.316925
Lansdowne Crescent Primary School,TAS,Government,Primary,Inner Regional,-42.882125,147.30871
Mount Stuart Primary School,TAS,Government,Primary,Inner Regional,-42.87507847,147.2990696
South Hobart Primary School,TAS,Government,Primary,Inner Regional,-42.891817,147.309568
Princes Street Primary School,TAS,Government,Primary,Inner Regional,-42.89924147,147.3184045
Waimea Heights Primary School,TAS,Government,Primary,Inner Regional,-42.90892029,147.3369141
Taroona Primary School,TAS,Government,Primary,Inner Regional,-42.94315177,147.3527989
Mount Nelson Primary School,TAS,Government,Primary,Inner Regional,-42.91290931,147.3223708
Lenah Valley Primary School,TAS,Government,Primary,Inner Regional,-42.860997,147.289568
New Town Primary School,TAS,Government,Primary,Inner Regional,-42.85748163,147.3000124
Bowen Road Primary School,TAS,Government,Primary,Inner Regional,-42.84736447,147.3076373
Goodwood Primary School,TAS,Government,Primary,Inner Regional,-42.83224516,147.2925531
Moonah Primary School,TAS,Government,Primary,Inner Regional,-42.83809219,147.2964634
Springfield Gardens Primary School,TAS,Government,Primary,Inner Regional,-42.84764764,147.2759479
Rosetta Primary School,TAS,Government,Primary,Inner Regional,-42.82210911,147.2573008
Collinsvale Primary School,TAS,Government,Primary,Inner Regional,-42.83667338,147.1983997
Lindisfarne North Primary School,TAS,Government,Primary,Inner Regional,-42.838657,147.350274
Lindisfarne Primary School,TAS,Government,Primary,Inner Regional,-42.85201252,147.3637244
Risdon Vale Primary School,TAS,Government,Primary,Inner Regional,-42.81259813,147.3532966
Bellerive Primary School,TAS,Government,Primary,Inner Regional,-42.87227607,147.3701106
Clarence High School,TAS,Government,Secondary,Inner Regional,-42.877901,147.3892403
Howrah Primary School,TAS,Government,Primary,Inner Regional,-42.88107919,147.4021105
Montagu Bay Primary School,TAS,Government,Primary,Inner Regional,-42.86449013,147.3522335
Warrane Primary School,TAS,Government,Primary,Inner Regional,-42.86122275,147.382622
Clarendon Vale Primary School,TAS,Government,Primary,Inner Regional,-42.88738509,147.4443949
Rokeby Primary School,TAS,Government,Primary,Inner Regional,-42.89897973,147.4337238
Lauderdale Primary School,TAS,Government,Primary,Inner Regional,-42.905072,147.47854
South Arm Primary School,TAS,Government,Primary,Outer Regional,-43.02586187,147.420197
Richmond Primary School,TAS,Government,Primary,Outer Regional,-42.73928054,147.4379846
Campania District School,TAS,Government,Combined,Outer Regional,-42.66623964,147.4230936
Glen Huon Primary School,TAS,Government,Primary,Outer Regional,-43.02813851,146.962378
Huonville Primary School,TAS,Government,Primary,Outer Regional,-43.02374508,147.0469488
Cygnet Primary School,TAS,Government,Primary,Outer Regional,-43.15825931,147.0722396
Franklin Primary School,TAS,Government,Primary,Outer Regional,-43.08553093,147.0118557
Kingston Primary School,TAS,Government,Primary,Inner Regional,-42.97934878,147.3099185
Blackmans Bay Primary School,TAS,Government,Primary,Inner Regional,-42.99699352,147.3212642
Margate Primary School,TAS,Government,Primary,Inner Regional,-43.028852,147.262095
Snug Primary School,TAS,Government,Primary,Inner Regional,-43.06533258,147.2542694
Bruny Island District School,TAS,Government,Primary,Outer Regional,-43.31756067,147.2460519
Cambridge Primary School,TAS,Government,Primary,Inner Regional,-42.83620708,147.4418246
Evandale Primary School,TAS,Government,Primary,Inner Regional,-41.567519,147.249153
Bicheno Primary School,TAS,Government,Primary,Remote,-41.87237979,148.3057023
East Launceston Primary School,TAS,Government,Primary,Inner Regional,-41.44202283,147.1520445
Glen Dhu Primary School,TAS,Government,Primary,Inner Regional,-41.45590244,147.1439905
Norwood Primary School,TAS,Government,Primary,Inner Regional,-41.46210661,147.1742756
Punchbowl Primary School,TAS,Government,Primary,Inner Regional,-41.45252801,147.1653299
Riverside Primary School,TAS,Government,Primary,Inner Regional,-41.41277009,147.1006329
St Leonards Primary School,TAS,Government,Primary,Inner Regional,-41.45970425,147.2003125
Summerdale Primary School,TAS,Government,Primary,Inner Regional,-41.46827258,147.1297071
Trevallyn Primary School,TAS,Government,Primary,Inner Regional,-41.43814374,147.1146624
Waverley Primary School,TAS,Government,Primary,Inner Regional,-41.43207254,147.1901325
West Launceston Primary School,TAS,Government,Primary,Inner Regional,-41.44906993,147.1284837
Youngtown Primary School,TAS,Government,Primary,Inner Regional,-41.482606,147.163844
Port Dalrymple School,TAS,Government,Combined,Outer Regional,-41.09971856,146.8281151
South George Town Primary School,TAS,Government,Primary,Outer Regional,-41.11362094,146.8336332
Bridport Primary School,TAS,Government,Primary,Outer Regional,-41.00162041,147.3893709
Ringarooma Primary School,TAS,Government,Primary,Outer Regional,-41.24228469,147.7332395
Scottsdale Primary School,TAS,Government,Primary,Outer Regional,-41.16034658,147.5066538
Hagley Farm Primary School,TAS,Government,Primary,Outer Regional,-41.52669149,146.9034023
Orford Primary School,TAS,Government,Primary,Outer Regional,-42.56331933,147.8738424
Swansea Primary School,TAS,Government,Primary,Remote,-42.12236781,148.073201
Bracknell Primary School,TAS,Government,Primary,Outer Regional,-41.65243695,146.9335869
Perth Primary School,TAS,Government,Primary,Inner Regional,-41.57317837,147.1743711
Longford Primary School,TAS,Government,Primary,Inner Regional,-41.59593583,147.1169432
