OBJECT ID,STATE POLYGON (PID),STATE (PID),STATE NAME,STATE ABBREVIATION,DATE CREATED,DATE RETIRED,GLOBAL ID,Shape__Area,Shape__Length
17603,11887,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,d2285ff3-65c7-4354-891f-92af8e0a0468,2.76941136689857E-10,9.7230315235059E-05
17604,11888,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,96b77c20-ad2b-4228-895a-5eed26d21459,2.61479726759717E-10,7.97975318998284E-05
17605,11889,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,7f186993-7fe7-457a-8da9-8d036a9aca76,2.45563569478691E-10,7.87895573676907E-05
17606,11890,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,e145803c-65e1-4897-b3b4-9ed03bdd4180,2.00998329091817E-10,6.53153322973734E-05
17607,11891,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,2009b3b8-d535-467a-854b-224d7ec6c566,1.77806214196607E-10,6.95815774319794E-05
17608,11892,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,9b63d12f-eeb1-43ea-8cb8-5ac418638d5f,1.75532477442175E-10,6.5570946396317E-05
17609,11893,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,da1ad869-a12c-4c70-8a0f-6245ca07297a,1.70530256582424E-10,6.04571255739232E-05
17610,12241,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,99ed400b-ea55-4347-ae37-de6d4c2ee547,4.48017090093344E-09,0.000260223697263735
17611,12242,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,e4f12995-6ac2-420a-a04e-d35cf82fb359,4.46652848040685E-09,0.000271410167243179
17612,12243,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,bb56ac65-0a68-4eee-ac82-d5da63d4c6fb,4.45515979663469E-09,0.000281151499306001
17613,12244,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,85d38ebd-2bdc-4504-80f6-ac2a6282a9d1,4.44333636551164E-09,0.000263159456100616
17614,12245,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,c7f883ec-af9f-46c9-8f4e-4388232ae36c,4.4415173761081E-09,0.000270428208740222
17615,12246,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,a0391d17-9a15-4756-800b-db2071370790,4.40650183008984E-09,0.000290607261602177
17616,12247,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,62d5de0e-60e4-46cc-be51-6ee3878b003b,4.38876668340527E-09,0.000245899191626185
17617,12248,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,2e831db7-ecca-4e10-9d8e-25a87b1197f2,4.36148184235208E-09,0.000258339283563414
17618,12249,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,e90ab713-2938-4ccc-b9df-3f79bff8af61,4.35966285294853E-09,0.00029075290580922
17619,12250,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,f391f4eb-70d8-4845-a48a-12c2f8fe6ce8,4.34965841122903E-09,0.000248239553953145
17620,12251,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,bfe0ae4f-70a9-4091-a78f-57a85140c54b,4.34965841122903E-09,0.000279886393670724
17621,12252,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,0c9f5b18-b2ba-4829-9a39-53ce58c66bd2,4.3169166019652E-09,0.000282822196373178
17622,11359,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,a02aaf19-e7ad-403f-bad8-40e594c2e585,1.00176293926779E-08,0.000372963232331592
17623,11360,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,c2307caa-334c-40da-9ed3-ea7ea5e96d73,1.00158104032744E-08,0.00036892684455135
17624,11361,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,fab25a5a-3ef1-4e10-98b1-b97a38cc00ac,1.00089891930111E-08,0.000403184920429575
17625,11362,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,0b04d0c3-5381-44da-9131-a29e0990744e,9.99625626718625E-09,0.000433440752881624
17626,11363,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,b8416a42-90dd-4a86-a5ba-5043c19134c7,9.97351889964193E-09,0.000420456880998018
17627,6376,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,47535597-201f-4c13-9a75-50d067fad4ab,2.29907586799527E-05,0.0286675529012845
17628,6433,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,f8a9d969-c10f-4b29-a65c-287f901b73e5,2.56452949543018E-07,0.00214202044145001
17629,6434,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,3e21361c-36d2-4b99-8722-44821c37ab7b,1.851126398833E-07,0.00197494899534407
17630,6435,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,e114d66a-8ad1-4405-bec2-37ed490c8eae,1.84607415576465E-07,0.00170508333075077
17631,6667,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,1f4d7644-0916-4100-ac4a-442a027bd03a,8.94655386218801E-07,0.00437770068288425
17632,6668,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,e395d234-fc16-4cd8-8b8f-aea9d5860489,5.0402832130203E-07,0.0032614400333882
17633,6726,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,8977d6dc-3e34-4c14-8c1d-a504e3a33a50,2.19659796130145E-07,0.00178710797587683
17634,6677,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,8aa4cdb1-2f90-4ade-8833-09893aa72c29,3.18814727506833E-07,0.00217790954737284
17635,6678,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,08041b7a-9ca1-4c49-9388-88e39495c22d,3.17929789162008E-07,0.00242387343656416
17636,6679,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,d12c2562-1461-4e50-be83-5e43499420ee,3.17593276122352E-07,0.00238118324657706
17637,6680,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,ce9e6bca-6174-40ab-9655-be12ecb0aacc,3.17008925776463E-07,0.00221547309858423
17638,6734,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,25c6725f-13ce-45bc-97d0-7200907b72ea,8.26682025945047E-07,0.00731961972448624
17639,6735,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,db87ec70-7c5b-4314-a43d-c565fb3df5f1,4.78315087093506E-07,0.0038656991591775
17640,6800,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,73a12ae8-9de6-487c-a2fd-165df44ed3e3,2.07769971893867E-07,0.00177930620426574
17641,6801,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,afd03102-21b8-4bf8-aab8-5d691c0350ac,2.07710399990901E-07,0.00191138312758391
17642,6802,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,de0c5611-bddf-44cb-8880-2e1d3bc12524,2.07115590455942E-07,0.00261198638323967
17643,6625,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,9a623a07-9514-4b3a-ae01-b912d524e2a3,9.2847631094628E-07,0.00407394990811671
17644,6681,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,97342d18-97ad-4fa1-a179-4321f66b5857,3.16698788083158E-07,0.00211874967270062
17645,6682,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,a0ed9566-355c-4278-847e-d173dc8bf920,3.16016667056829E-07,0.00238737997264624
17646,6683,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,a94ff993-7e22-4967-b4d0-c3c85446e0e5,3.14747012453154E-07,0.00217079011801381
17647,6684,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,a8b718bc-a8e5-4a61-9505-ae7915082976,3.1452464099857E-07,0.00261916141442111
17648,6365,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,15db28d2-1a61-4e9c-b89e-7a7b522e4636,2.58954196397099E-06,0.0079622071681142
17649,11364,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,4a9b03c8-68a3-48a0-b484-bccecdc40bb8,9.96260496322066E-09,0.000376255991559838
17650,11365,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,24ec8662-c38d-4d72-8c76-99080b6a0db8,9.9576027423609E-09,0.000369451671138687
17651,11366,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,bd540366-c676-48fa-a0d7-375d309157e2,7.97672328189947E-09,0.000341082421286474
17652,11367,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,0b0be72b-21d0-4f72-84df-24abadb2ecc2,7.97490429249592E-09,0.00044606461384708
17653,11368,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,863dbcb9-675c-4503-b9ef-2888f4ccd1cd,7.96035237726755E-09,0.000324994982458664
17654,11568,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,8eff65c8-e474-4af5-9249-996a6cdcbd39,3.34557626047172E-09,0.000225194096317445
17655,11569,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,6f736818-821b-4f0a-aae3-9f5960a9f0bf,3.33238858729601E-09,0.0002393595425891
17656,11570,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,ef7f2a59-949e-450b-87c5-009ed6532bf4,3.32784111378714E-09,0.000253233040814901
17657,11571,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,d480c412-29de-4e6a-a091-f4f081033a8b,3.30373950419016E-09,0.000216551812796288
17658,11572,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,affab1e1-1a4b-4bd0-b7e4-627421b03510,3.28327587340027E-09,0.000237572528391827
17659,11573,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,b25df53e-b414-40dd-b053-2cd89d8c9972,3.25371729559265E-09,0.000212498115241456
17660,11574,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,9e3235b7-4edd-43ce-bd9d-c2e1417210b1,3.24962456943467E-09,0.000223948919203878
17661,11575,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,7f407ec9-fd4c-4057-9310-5451372bcfe7,3.22688720189035E-09,0.000217590128258278
17662,11576,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,6c69e2d7-64ec-4c0c-9f64-c00d93b0521e,3.15048964694142E-09,0.00030529313817192
17663,11577,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,e3acd8de-32e1-4160-81c9-6720cc5af3d2,3.14867065753788E-09,0.00023447967946435
17664,11578,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,980935a9-a587-4b23-bd24-ea0850fa30ee,3.14548742608167E-09,0.000226089795403785
17665,11579,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,dcd67253-41d0-4dc0-a9a4-2a1c805ca560,3.13275450025685E-09,0.00021257327982406
