Calendar year;State/territory;School sector;School type;School count;Proportion of sector;Proportion of state;Proportion of school type
2019;Western Australia;Independent;Combined;94;46.8;13.2;67.1
2019;Western Australia;Independent;Special;10;12.7;9.1;7.1
2019;Western Australia;Independent;All;140;12.8;12.9;100.0
2019;Western Australia;All;Primary;680;100.0;10.9;62.0
2019;Western Australia;All;Secondary;137;100.0;9.7;12.5
2019;Western Australia;All;Combined;201;100.0;14.8;18.3
2019;Western Australia;All;Special;79;100.0;16.4;7.2
2019;Western Australia;All;All;1,097;100.0;11.5;100.0
2019;Tasmania;Government;Primary;126;80.8;2.6;65.6
2019;Tasmania;Government;Secondary;37;86.0;3.5;19.3
2019;Tasmania;Government;Combined;25;44.6;5.0;13.0
2019;Tasmania;Government;Special;4;57.1;1.2;2.1
2019;Tasmania;Government;All;192;73.3;2.9;100.0
2019;Tasmania;Catholic;Primary;24;15.4;1.9;63.2
2019;Tasmania;Catholic;Secondary;5;11.6;1.6;13.2
2019;Tasmania;Catholic;Combined;8;14.3;5.4;21.1
2019;Tasmania;Catholic;Special;1;14.3;2.5;2.6
2019;Tasmania;Catholic;All;38;14.5;2.2;100.0
2019;Tasmania;Independent;Primary;6;3.8;2.8;18.8
2019;Tasmania;Independent;Secondary;1;2.3;1.9;3.1
2019;Tasmania;Independent;Combined;23;41.1;3.2;71.9
2019;Tasmania;Independent;Special;2;28.6;1.8;6.3
2019;Tasmania;Independent;All;32;12.2;2.9;100.0
2019;Tasmania;All;Primary;156;100.0;2.5;59.5
2019;Tasmania;All;Secondary;43;100.0;3.0;16.4
2019;Tasmania;All;Combined;56;100.0;4.1;21.4
2019;Tasmania;All;Special;7;100.0;1.4;2.7
2019;Tasmania;All;All;262;100.0;2.8;100.0
2019;Northern Territory;Government;Primary;66;88.0;1.4;43.7
2019;Northern Territory;Government;Secondary;15;68.2;1.4;9.9
2019;Northern Territory;Government;Combined;65;75.6;13.1;43.0
2019;Northern Territory;Government;Special;5;83.3;1.5;3.3
2019;Northern Territory;Government;All;151;79.9;2.3;100.0
2019;Northern Territory;Catholic;Primary;8;10.7;0.6;44.4
2019;Northern Territory;Catholic;Secondary;4;18.2;1.3;22.2
2019;Northern Territory;Catholic;Combined;5;5.8;3.4;27.8
2019;Northern Territory;Catholic;Special;1;16.7;2.5;5.6
2019;Northern Territory;Catholic;All;18;9.5;1.0;100.0
2019;Northern Territory;Independent;Primary;1;1.3;0.5;5.0
2019;Northern Territory;Independent;Secondary;3;13.6;5.6;15.0
2019;Northern Territory;Independent;Combined;16;18.6;2.2;80.0
2019;Northern Territory;Independent;All;20;10.6;1.8;100.0
2019;Northern Territory;All;Primary;75;100.0;1.2;39.7
2019;Northern Territory;All;Secondary;22;100.0;1.6;11.6
2019;Northern Territory;All;Combined;86;100.0;6.3;45.5
2019;Northern Territory;All;Special;6;100.0;1.2;3.2
2019;Northern Territory;All;All;189;100.0;2.0;100.0
2019;Australian Capital Territory;Government;Primary;57;67.9;1.2;64.8
2019;Australian Capital Territory;Government;Secondary;19;76.0;1.8;21.6
2019;Australian Capital Territory;Government;Combined;8;38.1;1.6;9.1
2019;Australian Capital Territory;Government;Special;4;80.0;1.2;4.5
2019;Australian Capital Territory;Government;All;88;65.2;1.3;100.0
2019;Australian Capital Territory;Catholic;Primary;24;28.6;1.9;75.0
2019;Australian Capital Territory;Catholic;Secondary;6;24.0;1.9;18.8
2019;Australian Capital Territory;Catholic;Combined;2;9.5;1.3;6.3
2019;Australian Capital Territory;Catholic;All;32;23.7;1.8;100.0
2019;Australian Capital Territory;Independent;Primary;3;3.6;1.4;20.0
2019;Australian Capital Territory;Independent;Combined;11;52.4;1.5;73.3
2019;Australian Capital Territory;Independent;Special;1;20.0;0.9;6.7
2019;Australian Capital Territory;Independent;All;15;11.1;1.4;100.0
2019;Australian Capital Territory;All;Primary;84;100.0;1.3;62.2
2019;Australian Capital Territory;All;Secondary;25;100.0;1.8;18.5
2019;Australian Capital Territory;All;Combined;21;100.0;1.5;15.6
2019;Australian Capital Territory;All;Special;5;100.0;1.0;3.7
2019;Australian Capital Territory;All;All;135;100.0;1.4;100.0
2019;Australia;Government;Primary;4,786;76.6;100.0;71.9
2019;Australia;Government;Secondary;1,043;73.7;100.0;15.7
2019;Australia;Government;Combined;497;36.6;100.0;7.5
2019;Australia;Government;Special;333;68.9;100.0;5.0
2019;Australia;Government;All;6,659;70.1;100.0;100.0
2019;Australia;Catholic;Primary;1,248;20.0;100.0;71.1
2019;Australia;Catholic;Secondary;319;22.5;100.0;18.2
2019;Australia;Catholic;Combined;149;11.0;100.0;8.5
2019;Australia;Catholic;Special;40;8.3;100.0;2.3
2019;Australia;Catholic;All;1,756;18.5;100.0;100.0
2019;Australia;Independent;Primary;211;3.4;100.0;19.4
2019;Australia;Independent;Secondary;54;3.8;100.0;5.0
2019;Australia;Independent;Combined;713;52.5;100.0;65.5
2019;Australia;Independent;Special;110;22.8;100.0;10.1
2019;Australia;Independent;All;1,088;11.4;100.0;100.0
2019;Australia;All;Primary;6,245;100.0;100.0;65.7
2019;Australia;All;Secondary;1,416;100.0;100.0;14.9
2019;Australia;All;Combined;1,359;100.0;100.0;14.3
2019;Australia;All;Special;483;100.0;100.0;5.1
2019;Australia;All;All;9,503;100.0;100.0;100.0
2018;New South Wales;Government;Primary;1,605;76.2;33.6;74.7
2018;New South Wales;Government;Secondary;369;71.9;35.4;17.2
2018;New South Wales;Government;Combined;65;21.0;13.2;3.0
2018;New South Wales;Government;Special;110;64.3;33.2;5.1
2018;New South Wales;Government;All;2,149;69.3;32.3;100.0
2018;New South Wales;Catholic;Primary;424;20.1;34.0;70.9
2018;New South Wales;Catholic;Secondary;131;25.5;40.6;21.9
2018;New South Wales;Catholic;Combined;32;10.3;22.2;5.4
2018;New South Wales;Catholic;Special;11;6.4;27.5;1.8
2018;New South Wales;Catholic;All;598;19.3;34.1;100.0
2018;New South Wales;Independent;Primary;78;3.7;36.1;22.0
2018;New South Wales;Independent;Secondary;13;2.5;27.1;3.7
2018;New South Wales;Independent;Combined;213;68.7;30.3;60.2
2018;New South Wales;Independent;Special;50;29.2;45.0;14.1
2018;New South Wales;Independent;All;354;11.4;32.8;100.0
2018;New South Wales;All;Primary;2,107;100.0;33.8;67.9
2018;New South Wales;All;Secondary;513;100.0;36.3;16.5
2018;New South Wales;All;Combined;310;100.0;23.1;10.0
2018;New South Wales;All;Special;171;100.0;35.5;5.5
2018;New South Wales;All;All;3,101;100.0;32.7;100.0
2018;Victoria;Government;Primary;1,120;72.4;23.4;73.3
2018;Victoria;Government;Secondary;245;72.3;23.5;16.0
2018;Victoria;Government;Combined;82;33.7;16.6;5.4
2018;Victoria;Government;Special;81;74.3;24.5;5.3
2018;Victoria;Government;All;1,528;68.3;23.0;100.0
2018;Victoria;Catholic;Primary;391;25.3;31.4;78.8
2018;Victoria;Catholic;Secondary;85;25.1;26.3;17.1
2018;Victoria;Catholic;Combined;14;5.8;9.7;2.8
2018;Victoria;Catholic;Special;6;5.5;15.0;1.2
2018;Victoria;Catholic;All;496;22.2;28.3;100.0
2018;Victoria;Independent;Primary;36;2.3;16.7;16.8
2018;Victoria;Independent;Secondary;9;2.7;18.8;4.2
2018;Victoria;Independent;Combined;147;60.5;20.9;68.7
2018;Victoria;Independent;Special;22;20.2;19.8;10.3
2018;Victoria;Independent;All;214;9.6;19.9;100.0
2018;Victoria;All;Primary;1,547;100.0;24.8;69.1
2018;Victoria;All;Secondary;339;100.0;24.0;15.1
2018;Victoria;All;Combined;243;100.0;18.1;10.9
2018;Victoria;All;Special;109;100.0;22.6;4.9
2018;Victoria;All;All;2,238;100.0;23.6;100.0
2018;Queensland;Government;Primary;915;80.5;19.2;74.0
2018;Queensland;Government;Secondary;185;71.4;17.7;15.0
2018;Queensland;Government;Combined;92;34.2;18.6;7.4
2018;Queensland;Government;Special;44;55.0;13.3;3.6
2018;Queensland;Government;All;1,236;70.8;18.6;100.0
2018;Queensland;Catholic;Primary;196;17.2;15.7;64.3
2018;Queensland;Catholic;Secondary;61;23.6;18.9;20.0
2018;Queensland;Catholic;Combined;34;12.6;23.6;11.1
2018;Queensland;Catholic;Special;14;17.5;35.0;4.6
2018;Queensland;Catholic;All;305;17.5;17.4;100.0
2018;Queensland;Independent;Primary;26;2.3;12.0;12.7
2018;Queensland;Independent;Secondary;13;5.0;27.1;6.4
2018;Queensland;Independent;Combined;143;53.2;20.3;70.1
2018;Queensland;Independent;Special;22;27.5;19.8;10.8
2018;Queensland;Independent;All;204;11.7;18.9;100.0
2018;Queensland;All;Primary;1,137;100.0;18.2;65.2
2018;Queensland;All;Secondary;259;100.0;18.3;14.8
2018;Queensland;All;Combined;269;100.0;20.1;15.4
2018;Queensland;All;Special;80;100.0;16.6;4.6
2018;Queensland;All;All;1,745;100.0;18.4;100.0
2018;South Australia;Government;Primary;354;78.1;7.4;69.1
2018;South Australia;Government;Secondary;65;83.3;6.2;12.7
2018;South Australia;Government;Combined;75;46.9;15.2;14.6
2018;South Australia;Government;Special;18;72.0;5.4;3.5
2018;South Australia;Government;All;512;71.5;7.7;100.0
2018;South Australia;Catholic;Primary;67;14.8;5.4;65.7
2018;South Australia;Catholic;Secondary;9;11.5;2.8;8.8
2018;South Australia;Catholic;Combined;23;14.4;16.0;22.5
2018;South Australia;Catholic;Special;3;12.0;7.5;2.9
2018;South Australia;Catholic;All;102;14.2;5.8;100.0
2018;South Australia;Independent;Primary;32;7.1;14.8;31.4
2018;South Australia;Independent;Secondary;4;5.1;8.3;3.9
2018;South Australia;Independent;Combined;62;38.8;8.8;60.8
2018;South Australia;Independent;Special;4;16.0;3.6;3.9
2018;South Australia;Independent;All;102;14.2;9.5;100.0
2018;South Australia;All;Primary;453;100.0;7.3;63.3
2018;South Australia;All;Secondary;78;100.0;5.5;10.9
2018;South Australia;All;Combined;160;100.0;11.9;22.3
2018;South Australia;All;Special;25;100.0;5.2;3.5
2018;South Australia;All;All;716;100.0;7.6;100.0
2018;Western Australia;Government;Primary;535;78.9;11.2;67.6
2018;Western Australia;Government;Secondary;108;79.4;10.4;13.7
2018;Western Australia;Government;Combined;83;41.3;16.8;10.5
2018;Western Australia;Government;Special;65;82.3;19.6;8.2
2018;Western Australia;Government;All;791;72.3;11.9;100.0
2018;Western Australia;Catholic;Primary;112;16.5;9.0;68.3
2018;Western Australia;Catholic;Secondary;22;16.2;6.8;13.4
2018;Western Australia;Catholic;Combined;26;12.9;18.1;15.9
2018;Western Australia;Catholic;Special;4;5.1;10.0;2.4
2018;Western Australia;Catholic;All;164;15.0;9.4;100.0
2018;Western Australia;Independent;Primary;31;4.6;14.4;22.3
2018;Western Australia;Independent;Secondary;6;4.4;12.5;4.3
2018;Western Australia;Independent;Combined;92;45.8;13.1;66.2
2018;Western Australia;Independent;Special;10;12.7;9.0;7.2
2018;Western Australia;Independent;All;139;12.7;12.9;100.0
2018;Western Australia;All;Primary;678;100.0;10.9;62.0
2018;Western Australia;All;Secondary;136;100.0;9.6;12.4
2018;Western Australia;All;Combined;201;100.0;15.0;18.4
2018;Western Australia;All;Special;79;100.0;16.4;7.2
2018;Western Australia;All;All;1,094;100.0;11.5;100.0
2018;Tasmania;Government;Primary;126;80.3;2.6;65.6
2018;Tasmania;Government;Secondary;37;88.1;3.5;19.3
2018;Tasmania;Government;Combined;25;45.5;5.1;13.0
2018;Tasmania;Government;Special;4;57.1;1.2;2.1
2018;Tasmania;Government;All;192;73.6;2.9;100.0
2018;Tasmania;Catholic;Primary;24;15.3;1.9;63.2
2018;Tasmania;Catholic;Secondary;5;11.9;1.5;13.2
2018;Tasmania;Catholic;Combined;8;14.5;5.6;21.1
2018;Tasmania;Catholic;Special;1;14.3;2.5;2.6
2018;Tasmania;Catholic;All;38;14.6;2.2;100.0
2018;Tasmania;Independent;Primary;7;4.5;3.2;22.6
2018;Tasmania;Independent;Combined;22;40.0;3.1;71.0
2018;Tasmania;Independent;Special;2;28.6;1.8;6.5
2018;Tasmania;Independent;All;31;11.9;2.9;100.0
2018;Tasmania;All;Primary;157;100.0;2.5;60.2
2018;Tasmania;All;Secondary;42;100.0;3.0;16.1
2018;Tasmania;All;Combined;55;100.0;4.1;21.1
2018;Tasmania;All;Special;7;100.0;1.5;2.7
2018;Tasmania;All;All;261;100.0;2.8;100.0
2018;Northern Territory;Government;Primary;67;85.9;1.4;44.4
2018;Northern Territory;Government;Secondary;15;68.2;1.4;9.9
2018;Northern Territory;Government;Combined;64;78.0;13.0;42.4
2018;Northern Territory;Government;Special;5;83.3;1.5;3.3
2018;Northern Territory;Government;All;151;80.3;2.3;100.0
2018;Northern Territory;Catholic;Primary;8;10.3;0.6;44.4
2018;Northern Territory;Catholic;Secondary;4;18.2;1.2;22.2
2018;Northern Territory;Catholic;Combined;5;6.1;3.5;27.8
2018;Northern Territory;Catholic;Special;1;16.7;2.5;5.6
2018;Northern Territory;Catholic;All;18;9.6;1.0;100.0
2018;Northern Territory;Independent;Primary;3;3.8;1.4;15.8
2018;Northern Territory;Independent;Secondary;3;13.6;6.3;15.8
2018;Northern Territory;Independent;Combined;13;15.9;1.8;68.4
2018;Northern Territory;Independent;All;19;10.1;1.8;100.0
2018;Northern Territory;All;Primary;78;100.0;1.3;41.5
2018;Northern Territory;All;Secondary;22;100.0;1.6;11.7
2018;Northern Territory;All;Combined;82;100.0;6.1;43.6
2018;Northern Territory;All;Special;6;100.0;1.2;3.2
2018;Northern Territory;All;All;188;100.0;2.0;100.0
2018;Australian Capital Territory;Government;Primary;56;67.5;1.2;64.4
2018;Australian Capital Territory;Government;Secondary;19;76.0;1.8;21.8
2018;Australian Capital Territory;Government;Combined;8;38.1;1.6;9.2
2018;Australian Capital Territory;Government;Special;4;80.0;1.2;4.6
2018;Australian Capital Territory;Government;All;87;64.9;1.3;100.0
2018;Australian Capital Territory;Catholic;Primary;24;28.9;1.9;75.0
2018;Australian Capital Territory;Catholic;Secondary;6;24.0;1.9;18.8
2018;Australian Capital Territory;Catholic;Combined;2;9.5;1.4;6.3
2018;Australian Capital Territory;Catholic;All;32;23.9;1.8;100.0
2018;Australian Capital Territory;Independent;Primary;3;3.6;1.4;20.0
2018;Australian Capital Territory;Independent;Combined;11;52.4;1.6;73.3
2018;Australian Capital Territory;Independent;Special;1;20.0;0.9;6.7
2018;Australian Capital Territory;Independent;All;15;11.2;1.4;100.0
2018;Australian Capital Territory;All;Primary;83;100.0;1.3;61.9
2018;Australian Capital Territory;All;Secondary;25;100.0;1.8;18.7
2018;Australian Capital Territory;All;Combined;21;100.0;1.6;15.7
2018;Australian Capital Territory;All;Special;5;100.0;1.0;3.7
2018;Australian Capital Territory;All;All;134;100.0;1.4;100.0
2018;Australia;Government;Primary;4,778;76.6;100.0;71.9
2018;Australia;Government;Secondary;1,043;73.8;100.0;15.7
2018;Australia;Government;Combined;494;36.8;100.0;7.4
2018;Australia;Government;Special;331;68.7;100.0;5.0
2018;Australia;Government;All;6,646;70.1;100.0;100.0
2018;Australia;Catholic;Primary;1,246;20.0;100.0;71.1
2018;Australia;Catholic;Secondary;323;22.8;100.0;18.4
2018;Australia;Catholic;Combined;144;10.7;100.0;8.2
2018;Australia;Catholic;Special;40;8.3;100.0;2.3
2018;Australia;Catholic;All;1,753;18.5;100.0;100.0
2018;Australia;Independent;Primary;216;3.5;100.0;20.0
2018;Australia;Independent;Secondary;48;3.4;100.0;4.5
2018;Australia;Independent;Combined;703;52.4;100.0;65.2
2018;Australia;Independent;Special;111;23.0;100.0;10.3
2018;Australia;Independent;All;1,078;11.4;100.0;100.0
2018;Australia;All;Primary;6,240;100.0;100.0;65.8
2018;Australia;All;Secondary;1,414;100.0;100.0;14.9
2018;Australia;All;Combined;1,341;100.0;100.0;14.2
2018;Australia;All;Special;482;100.0;100.0;5.1
2018;Australia;All;All;9,477;100.0;100.0;100.0
2017;New South Wales;Government;Primary;1,607;76.5;33.7;74.7
2017;New South Wales;Government;Secondary;369;72.4;35.6;17.2
2017;New South Wales;Government;Combined;65;21.1;12.9;3.0
2017;New South Wales;Government;Special;110;65.9;33.1;5.1
2017;New South Wales;Government;All;2,151;69.7;32.4;100.0
2017;New South Wales;Catholic;Primary;424;20.2;34.1;71.5
2017;New South Wales;Catholic;Secondary;127;24.9;39.6;21.4
2017;New South Wales;Catholic;Combined;31;10.1;22.0;5.2
2017;New South Wales;Catholic;Special;11;6.6;28.2;1.9
2017;New South Wales;Catholic;All;593;19.2;34.0;100.0
2017;New South Wales;Independent;Primary;71;3.4;32.9;20.7
2017;New South Wales;Independent;Secondary;14;2.7;27.5;4.1
2017;New South Wales;Independent;Combined;212;68.8;30.6;61.8
2017;New South Wales;Independent;Special;46;27.5;45.5;13.4
2017;New South Wales;Independent;All;343;11.1;32.3;100.0
2017;New South Wales;All;Primary;2,102;100.0;33.8;68.1
2017;New South Wales;All;Secondary;510;100.0;36.2;16.5
2017;New South Wales;All;Combined;308;100.0;23.1;10.0
2017;New South Wales;All;Special;167;100.0;35.4;5.4
2017;New South Wales;All;All;3,087;100.0;32.7;100.0
2017;Victoria;Government;Primary;1,124;72.4;23.6;73.7
2017;Victoria;Government;Secondary;239;71.8;23.1;15.7
2017;Victoria;Government;Combined;82;34.3;16.3;5.4
2017;Victoria;Government;Special;80;74.1;24.1;5.2
2017;Victoria;Government;All;1,525;68.3;23.0;100.0
2017;Victoria;Catholic;Primary;388;25.0;31.2;78.7
2017;Victoria;Catholic;Secondary;85;25.5;26.5;17.2
2017;Victoria;Catholic;Combined;14;5.9;9.9;2.8
2017;Victoria;Catholic;Special;6;5.6;15.4;1.2
2017;Victoria;Catholic;All;493;22.1;28.3;100.0
2017;Victoria;Independent;Primary;41;2.6;19.0;19.1
2017;Victoria;Independent;Secondary;9;2.7;17.6;4.2
2017;Victoria;Independent;Combined;143;59.8;20.6;66.5
2017;Victoria;Independent;Special;22;20.4;21.8;10.2
2017;Victoria;Independent;All;215;9.6;20.3;100.0
2017;Victoria;All;Primary;1,553;100.0;24.9;69.5
2017;Victoria;All;Secondary;333;100.0;23.7;14.9
2017;Victoria;All;Combined;239;100.0;17.9;10.7
2017;Victoria;All;Special;108;100.0;22.9;4.8
2017;Victoria;All;All;2,233;100.0;23.6;100.0
2017;Queensland;Government;Primary;912;80.4;19.1;73.9
2017;Queensland;Government;Secondary;184;71.6;17.8;14.9
2017;Queensland;Government;Combined;92;34.3;18.3;7.5
2017;Queensland;Government;Special;46;59.0;13.9;3.7
2017;Queensland;Government;All;1,234;71.0;18.6;100.0
2017;Queensland;Catholic;Primary;195;17.2;15.7;64.4
2017;Queensland;Catholic;Secondary;61;23.7;19.0;20.1
2017;Queensland;Catholic;Combined;34;12.7;24.1;11.2
2017;Queensland;Catholic;Special;13;16.7;33.3;4.3
2017;Queensland;Catholic;All;303;17.4;17.4;100.0
2017;Queensland;Independent;Primary;27;2.4;12.5;13.5
2017;Queensland;Independent;Secondary;12;4.7;23.5;6.0
2017;Queensland;Independent;Combined;142;53.0;20.5;71.0
2017;Queensland;Independent;Special;19;24.4;18.8;9.5
2017;Queensland;Independent;All;200;11.5;18.9;100.0
2017;Queensland;All;Primary;1,134;100.0;18.2;65.3
2017;Queensland;All;Secondary;257;100.0;18.3;14.8
2017;Queensland;All;Combined;268;100.0;20.1;15.4
2017;Queensland;All;Special;78;100.0;16.5;4.5
2017;Queensland;All;All;1,737;100.0;18.4;100.0
2017;South Australia;Government;Primary;354;78.1;7.4;69.0
2017;South Australia;Government;Secondary;65;81.3;6.3;12.7
2017;South Australia;Government;Combined;76;48.4;15.1;14.8
2017;South Australia;Government;Special;18;75.0;5.4;3.5
2017;South Australia;Government;All;513;71.8;7.7;100.0
2017;South Australia;Catholic;Primary;67;14.8;5.4;65.0
2017;South Australia;Catholic;Secondary;10;12.5;3.1;9.7
2017;South Australia;Catholic;Combined;23;14.6;16.3;22.3
2017;South Australia;Catholic;Special;3;12.5;7.7;2.9
2017;South Australia;Catholic;All;103;14.4;5.9;100.0
2017;South Australia;Independent;Primary;32;7.1;14.8;32.7
2017;South Australia;Independent;Secondary;5;6.3;9.8;5.1
2017;South Australia;Independent;Combined;58;36.9;8.4;59.2
2017;South Australia;Independent;Special;3;12.5;3.0;3.1
2017;South Australia;Independent;All;98;13.7;9.2;100.0
2017;South Australia;All;Primary;453;100.0;7.3;63.4
2017;South Australia;All;Secondary;80;100.0;5.7;11.2
2017;South Australia;All;Combined;157;100.0;11.8;22.0
2017;South Australia;All;Special;24;100.0;5.1;3.4
2017;South Australia;All;All;714;100.0;7.6;100.0
2017;Western Australia;Government;Primary;523;78.2;11.0;66.7
2017;Western Australia;Government;Secondary;107;78.7;10.3;13.6
2017;Western Australia;Government;Combined;89;43.4;17.7;11.4
2017;Western Australia;Government;Special;65;83.3;19.6;8.3
2017;Western Australia;Government;All;784;72.1;11.8;100.0
2017;Western Australia;Catholic;Primary;114;17.0;9.2;69.1
2017;Western Australia;Catholic;Secondary;23;16.9;7.2;13.9
2017;Western Australia;Catholic;Combined;24;11.7;17.0;14.5
2017;Western Australia;Catholic;Special;4;5.1;10.3;2.4
2017;Western Australia;Catholic;All;165;15.2;9.5;100.0
2017;Western Australia;Independent;Primary;32;4.8;14.8;23.0
2017;Western Australia;Independent;Secondary;6;4.4;11.8;4.3
2017;Western Australia;Independent;Combined;92;44.9;13.3;66.2
2017;Western Australia;Independent;Special;9;11.5;8.9;6.5
2017;Western Australia;Independent;All;139;12.8;13.1;100.0
2017;Western Australia;All;Primary;669;100.0;10.7;61.5
2017;Western Australia;All;Secondary;136;100.0;9.7;12.5
2017;Western Australia;All;Combined;205;100.0;15.3;18.8
2017;Western Australia;All;Special;78;100.0;16.5;7.2
2017;Western Australia;All;All;1,088;100.0;11.5;100.0
2017;Tasmania;Government;Primary;126;80.3;2.6;65.6
2017;Tasmania;Government;Secondary;37;86.0;3.6;19.3
2017;Tasmania;Government;Combined;25;45.5;5.0;13.0
2017;Tasmania;Government;Special;4;66.7;1.2;2.1
2017;Tasmania;Government;All;192;73.6;2.9;100.0
2017;Tasmania;Catholic;Primary;24;15.3;1.9;63.2
2017;Tasmania;Catholic;Secondary;5;11.6;1.6;13.2
2017;Tasmania;Catholic;Combined;8;14.5;5.7;21.1
2017;Tasmania;Catholic;Special;1;16.7;2.6;2.6
2017;Tasmania;Catholic;All;38;14.6;2.2;100.0
2017;Tasmania;Independent;Primary;7;4.5;3.2;22.6
2017;Tasmania;Independent;Secondary;1;2.3;2.0;3.2
2017;Tasmania;Independent;Combined;22;40.0;3.2;71.0
2017;Tasmania;Independent;Special;1;16.7;1.0;3.2
2017;Tasmania;Independent;All;31;11.9;2.9;100.0
2017;Tasmania;All;Primary;157;100.0;2.5;60.2
2017;Tasmania;All;Secondary;43;100.0;3.1;16.5
2017;Tasmania;All;Combined;55;100.0;4.1;21.1
2017;Tasmania;All;Special;6;100.0;1.3;2.3
2017;Tasmania;All;All;261;100.0;2.8;100.0
2017;Northern Territory;Government;Primary;67;87.0;1.4;43.8
2017;Northern Territory;Government;Secondary;16;66.7;1.5;10.5
2017;Northern Territory;Government;Combined;65;78.3;12.9;42.5
2017;Northern Territory;Government;Special;5;83.3;1.5;3.3
2017;Northern Territory;Government;All;153;80.5;2.3;100.0
2017;Northern Territory;Catholic;Primary;7;9.1;0.6;41.2
2017;Northern Territory;Catholic;Secondary;4;16.7;1.2;23.5
2017;Northern Territory;Catholic;Combined;5;6.0;3.5;29.4
2017;Northern Territory;Catholic;Special;1;16.7;2.6;5.9
2017;Northern Territory;Catholic;All;17;8.9;1.0;100.0
2017;Northern Territory;Independent;Primary;3;3.9;1.4;15.0
2017;Northern Territory;Independent;Secondary;4;16.7;7.8;20.0
2017;Northern Territory;Independent;Combined;13;15.7;1.9;65.0
2017;Northern Territory;Independent;All;20;10.5;1.9;100.0
2017;Northern Territory;All;Primary;77;100.0;1.2;40.5
2017;Northern Territory;All;Secondary;24;100.0;1.7;12.6
2017;Northern Territory;All;Combined;83;100.0;6.2;43.7
2017;Northern Territory;All;Special;6;100.0;1.3;3.2
2017;Northern Territory;All;All;190;100.0;2.0;100.0
2017;Australian Capital Territory;Government;Primary;56;67.5;1.2;64.4
2017;Australian Capital Territory;Government;Secondary;19;76.0;1.8;21.8
2017;Australian Capital Territory;Government;Combined;8;38.1;1.6;9.2
2017;Australian Capital Territory;Government;Special;4;80.0;1.2;4.6
2017;Australian Capital Territory;Government;All;87;64.9;1.3;100.0
2017;Australian Capital Territory;Catholic;Primary;24;28.9;1.9;75.0
2017;Australian Capital Territory;Catholic;Secondary;6;24.0;1.9;18.8
2017;Australian Capital Territory;Catholic;Combined;2;9.5;1.4;6.3
2017;Australian Capital Territory;Catholic;All;32;23.9;1.8;100.0
2017;Australian Capital Territory;Independent;Primary;3;3.6;1.4;20.0
2017;Australian Capital Territory;Independent;Combined;11;52.4;1.6;73.3
2017;Australian Capital Territory;Independent;Special;1;20.0;1.0;6.7
2017;Australian Capital Territory;Independent;All;15;11.2;1.4;100.0
2017;Australian Capital Territory;All;Primary;83;100.0;1.3;61.9
2017;Australian Capital Territory;All;Secondary;25;100.0;1.8;18.7
2017;Australian Capital Territory;All;Combined;21;100.0;1.6;15.7
2017;Australian Capital Territory;All;Special;5;100.0;1.1;3.7
2017;Australian Capital Territory;All;All;134;100.0;1.4;100.0
2017;Australia;Government;Primary;4,769;76.6;100.0;71.8
2017;Australia;Government;Secondary;1,036;73.6;100.0;15.6
2017;Australia;Government;Combined;502;37.6;100.0;7.6
2017;Australia;Government;Special;332;70.3;100.0;5.0
2017;Australia;Government;All;6,639;70.3;100.0;100.0
2017;Australia;Catholic;Primary;1,243;20.0;100.0;71.3
2017;Australia;Catholic;Secondary;321;22.8;100.0;18.4
2017;Australia;Catholic;Combined;141;10.6;100.0;8.1
2017;Australia;Catholic;Special;39;8.3;100.0;2.2
2017;Australia;Catholic;All;1,744;18.5;100.0;100.0
2017;Australia;Independent;Primary;216;3.5;100.0;20.4
2017;Australia;Independent;Secondary;51;3.6;100.0;4.8
2017;Australia;Independent;Combined;693;51.9;100.0;65.3
2017;Australia;Independent;Special;101;21.4;100.0;9.5
2017;Australia;Independent;All;1,061;11.2;100.0;100.0
2017;Australia;All;Primary;6,228;100.0;100.0;65.9
2017;Australia;All;Secondary;1,408;100.0;100.0;14.9
2017;Australia;All;Combined;1,336;100.0;100.0;14.1
2017;Australia;All;Special;472;100.0;100.0;5.0
2017;Australia;All;All;9,444;100.0;100.0;100.0
2016;New South Wales;Government;Primary;1,609;76.5;33.7;74.8
2016;New South Wales;Government;Secondary;369;72.2;35.7;17.1
2016;New South Wales;Government;Combined;65;21.4;13.3;3.0
2016;New South Wales;Government;Special;109;66.9;33.1;5.1
2016;New South Wales;Government;All;2,152;69.8;32.4;100.0
2016;New South Wales;Catholic;Primary;422;20.1;34.1;71.5
2016;New South Wales;Catholic;Secondary;127;24.9;39.6;21.5
2016;New South Wales;Catholic;Combined;30;9.9;21.7;5.1
2016;New South Wales;Catholic;Special;11;6.7;27.5;1.9
2016;New South Wales;Catholic;All;590;19.1;33.9;100.0
2016;New South Wales;Independent;Primary;72;3.4;33.6;21.2
2016;New South Wales;Independent;Secondary;15;2.9;31.3;4.4
2016;New South Wales;Independent;Combined;209;68.8;30.4;61.7
2016;New South Wales;Independent;Special;43;26.4;46.7;12.7
2016;New South Wales;Independent;All;339;11.0;32.5;100.0
2016;New South Wales;All;Primary;2,103;100.0;33.7;68.3
2016;New South Wales;All;Secondary;511;100.0;36.4;16.6
2016;New South Wales;All;Combined;304;100.0;23.1;9.9
2016;New South Wales;All;Special;163;100.0;35.4;5.3
2016;New South Wales;All;All;3,081;100.0;32.7;100.0
2016;Victoria;Government;Primary;1,122;72.3;23.5;73.7
